source,target,approximate,no map,combination,scenario,choice list,descriptions
0010,A000,1,0,0,1,0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
0011,A001,1,0,0,1,0,"Cholera due to Vibrio cholerae 01, biovar eltor"
0019,A009,1,0,0,1,0,"Cholera, unspecified"
0020,A0100,1,0,0,1,0,"Typhoid fever, unspecified"
0021,A011,1,0,0,1,0,Paratyphoid fever A
0022,A012,1,0,0,1,0,Paratyphoid fever B
0023,A013,1,0,0,1,0,Paratyphoid fever C
0029,A014,1,0,0,1,0,"Paratyphoid fever, unspecified"
0030,A020,1,0,0,1,0,Salmonella enteritis
0031,A021,1,0,0,1,0,Salmonella sepsis
00320,A0220,1,0,0,1,0,"Localized salmonella infection, unspecified"
00321,A0221,1,0,0,1,0,Salmonella meningitis
00322,A0222,1,0,0,1,0,Salmonella pneumonia
00323,A0223,1,0,0,1,0,Salmonella arthritis
00324,A0224,1,0,0,1,0,Salmonella osteomyelitis
00329,A0229,1,0,0,1,0,Salmonella with other localized infection
0038,A028,1,0,0,1,0,Other specified salmonella infections
0039,A029,1,0,0,1,0,"Salmonella infection, unspecified"
0040,A030,1,0,0,1,0,Shigellosis due to Shigella dysenteriae
0041,A031,1,0,0,1,0,Shigellosis due to Shigella flexneri
0042,A032,1,0,0,1,0,Shigellosis due to Shigella boydii
0043,A033,1,0,0,1,0,Shigellosis due to Shigella sonnei
0048,A038,1,0,0,1,0,Other shigellosis
0049,A039,1,0,0,1,0,"Shigellosis, unspecified"
0050,A050,1,0,0,1,0,Foodborne staphylococcal intoxication
0051,A051,1,0,0,1,0,Botulism food poisoning
0052,A052,1,0,0,1,0,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
0053,A058,1,0,0,1,0,Other specified bacterial foodborne intoxications
0054,A053,1,0,0,1,0,Foodborne Vibrio parahaemolyticus intoxication
00581,A055,1,0,0,1,0,Foodborne Vibrio vulnificus intoxication
00589,A054,1,0,0,1,0,Foodborne Bacillus cereus intoxication
00589,A058,1,0,0,1,0,Other specified bacterial foodborne intoxications
