source,target,approximate,no map,combination,scenario,choice list,target_descriptions,source_descriptions
0010,A000,0,0,0,0,0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera due to vibrio cholerae
0011,A001,0,0,0,0,0,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera due to vibrio cholerae el tor
0019,A009,0,0,0,0,0,"Cholera, unspecified","Cholera, unspecified"
0020,A0100,1,0,0,0,0,"Typhoid fever, unspecified",Typhoid fever
0021,A011,0,0,0,0,0,Paratyphoid fever A,Paratyphoid fever A
0022,A012,0,0,0,0,0,Paratyphoid fever B,Paratyphoid fever B
0023,A013,0,0,0,0,0,Paratyphoid fever C,Paratyphoid fever C
0029,A014,0,0,0,0,0,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
0030,A020,0,0,0,0,0,Salmonella enteritis,Salmonella gastroenteritis
0031,A021,1,0,0,0,0,Salmonella sepsis,Salmonella septicemia
00320,A0220,0,0,0,0,0,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified"
00321,A0221,0,0,0,0,0,Salmonella meningitis,Salmonella meningitis
00322,A0222,0,0,0,0,0,Salmonella pneumonia,Salmonella pneumonia
00323,A0223,0,0,0,0,0,Salmonella arthritis,Salmonella arthritis
00324,A0224,0,0,0,0,0,Salmonella osteomyelitis,Salmonella osteomyelitis
00329,A0229,1,0,0,0,0,Salmonella with other localized infection,Other localized salmonella infections
0038,A028,0,0,0,0,0,Other specified salmonella infections,Other specified salmonella infections
0039,A029,0,0,0,0,0,"Salmonella infection, unspecified","Salmonella infection, unspecified"
0040,A030,0,0,0,0,0,Shigellosis due to Shigella dysenteriae,Shigella dysenteriae
0041,A031,0,0,0,0,0,Shigellosis due to Shigella flexneri,Shigella flexneri
0042,A032,0,0,0,0,0,Shigellosis due to Shigella boydii,Shigella boydii
0043,A033,0,0,0,0,0,Shigellosis due to Shigella sonnei,Shigella sonnei
0048,A038,0,0,0,0,0,Other shigellosis,Other specified shigella infections
0049,A039,0,0,0,0,0,"Shigellosis, unspecified","Shigellosis, unspecified"
0050,A050,0,0,0,0,0,Foodborne staphylococcal intoxication,Staphylococcal food poisoning
0051,A051,0,0,0,0,0,Botulism food poisoning,Botulism food poisoning
0052,A052,0,0,0,0,0,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Food poisoning due to Clostridium perfringens (C. welchii)
0053,A058,1,0,0,0,0,Other specified bacterial foodborne intoxications,Food poisoning due to other Clostridia
0054,A053,0,0,0,0,0,Foodborne Vibrio parahaemolyticus intoxication,Food poisoning due to Vibrio parahaemolyticus
00581,A055,0,0,0,0,0,Foodborne Vibrio vulnificus intoxication,Food poisoning due to Vibrio vulnificus
00589,A054,1,0,0,0,0,Foodborne Bacillus cereus intoxication,Other bacterial food poisoning
00589,A058,1,0,0,0,0,Other specified bacterial foodborne intoxications,Other bacterial food poisoning
0059,A059,0,0,0,0,0,"Bacterial foodborne intoxication, unspecified","Food poisoning, unspecified"
0060,A060,0,0,0,0,0,Acute amebic dysentery,Acute amebic dysentery without mention of abscess
0061,A061,0,0,0,0,0,Chronic intestinal amebiasis,Chronic intestinal amebiasis without mention of abscess
0062,A062,0,0,0,0,0,Amebic nondysenteric colitis,Amebic nondysenteric colitis
0063,A064,0,0,0,0,0,Amebic liver abscess,Amebic liver abscess
0064,A065,0,0,0,0,0,Amebic lung abscess,Amebic lung abscess
0065,A066,0,0,0,0,0,Amebic brain abscess,Amebic brain abscess
0066,A067,0,0,0,0,0,Cutaneous amebiasis,Amebic skin ulceration
0068,A0689,1,0,0,0,0,Other amebic infections,Amebic infection of other sites
0069,A069,0,0,0,0,0,"Amebiasis, unspecified","Amebiasis, unspecified"
0070,A070,0,0,0,0,0,Balantidiasis,Balantidiasis
0071,A071,0,0,0,0,0,Giardiasis [lambliasis],Giardiasis
0072,A073,0,0,0,0,0,Isosporiasis,Coccidiosis
0073,A078,1,0,0,0,0,Other specified protozoal intestinal diseases,Intestinal trichomoniasis
0074,A072,0,0,0,0,0,Cryptosporidiosis,Cryptosporidiosis
0075,A074,0,0,0,0,0,Cyclosporiasis,Cyclosporiasis
0078,A078,1,0,0,0,0,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases
0079,A079,0,0,0,0,0,"Protozoal intestinal disease, unspecified",Unspecified protozoal intestinal disease
00800,A044,1,0,0,0,0,Other intestinal Escherichia coli infections,"Intestinal infection due to E. coli, unspecified"
00801,A040,0,0,0,0,0,Enteropathogenic Escherichia coli infection,Intestinal infection due to enteropathogenic E. coli
00802,A041,0,0,0,0,0,Enterotoxigenic Escherichia coli infection,Intestinal infection due to enterotoxigenic E. coli
00803,A042,0,0,0,0,0,Enteroinvasive Escherichia coli infection,Intestinal infection due to enteroinvasive E. coli
00804,A043,0,0,0,0,0,Enterohemorrhagic Escherichia coli infection,Intestinal infection due to enterohemorrhagic E. coli
00809,A044,1,0,0,0,0,Other intestinal Escherichia coli infections,Intestinal infection due to other intestinal E. coli infections
0081,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to arizona group of paracolon bacilli
0082,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to aerobacter aerogenes
0083,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to proteus (mirabilis) (morganii)
00841,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to staphylococcus
00842,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to pseudomonas
00843,A045,0,0,0,0,0,Campylobacter enteritis,Intestinal infection due to campylobacter
00844,A046,0,0,0,0,0,Enteritis due to Yersinia enterocolitica,Intestinal infection due to yersinia enterocolitica
00845,A0471,1,0,0,0,0,"Enterocolitis due to Clostridium difficile, recurrent",Intestinal infection due to Clostridium difficile
